row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,currency,ein,family,field_path,metric,money_type,object_id,org_id,org_name,period_end,period_start,selected,side,source_file
R-ITIF-2022-EXPENSE-2490,5506867,https://projects.propublica.org/nonprofits/full_text/202300129349302490/IRS990,2026-09-14,"5,506,867",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalExpensesAmt[1],EXPENSE,organization_expense,202300129349302490,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,superseded,industry,sources/return-202300129349302490.html
R-ITIF-2022-CONTRIB-2490,6821779,https://projects.propublica.org/nonprofits/full_text/202300129349302490/IRS990,2026-09-14,"6,821,779",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYContributionsGrantsAmt[1],CONTRIB,organization_contrib,202300129349302490,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,superseded,industry,sources/return-202300129349302490.html
R-ITIF-2022-INVEST-2490,136335,https://projects.propublica.org/nonprofits/full_text/202300129349302490/IRS990,2026-09-14,"136,335",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYInvestmentIncomeAmt[1],INVEST,organization_invest,202300129349302490,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,superseded,industry,sources/return-202300129349302490.html
R-ITIF-2021-REV-0339,6395989,https://projects.propublica.org/nonprofits/full_text/202240149349300339/IRS990,2026-09-14,"6,395,989",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalRevenueAmt[1],REV,organization_rev,202240149349300339,ITIF,Information Technology and Innovation Foundation,2021-02-28,2020-03-01,yes,industry,sources/return-202240149349300339.html
R-ITIF-2021-ASSETS-0339,9915279,https://projects.propublica.org/nonprofits/full_text/202240149349300339/IRS990,2026-09-14,"9,915,279",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalAssetsEOYAmt[1],ASSETS,organization_assets,202240149349300339,ITIF,Information Technology and Innovation Foundation,2021-02-28,2020-03-01,yes,industry,sources/return-202240149349300339.html
R-ITIF-2021-PROGRAM-0339,3642968,https://projects.propublica.org/nonprofits/full_text/202240149349300339/IRS990,2026-09-14,"3,642,968",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalProgramServiceExpensesAmt[1],PROGRAM,organization_program,202240149349300339,ITIF,Information Technology and Innovation Foundation,2021-02-28,2020-03-01,yes,industry,sources/return-202240149349300339.html
R-ITIF-2021-EXPENSE-0339,4576356,https://projects.propublica.org/nonprofits/full_text/202240149349300339/IRS990,2026-09-14,"4,576,356",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalExpensesAmt[1],EXPENSE,organization_expense,202240149349300339,ITIF,Information Technology and Innovation Foundation,2021-02-28,2020-03-01,yes,industry,sources/return-202240149349300339.html
R-ITIF-2021-CONTRIB-0339,5826163,https://projects.propublica.org/nonprofits/full_text/202240149349300339/IRS990,2026-09-14,"5,826,163",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYContributionsGrantsAmt[1],CONTRIB,organization_contrib,202240149349300339,ITIF,Information Technology and Innovation Foundation,2021-02-28,2020-03-01,yes,industry,sources/return-202240149349300339.html
R-ITIF-2021-INVEST-0339,569350,https://projects.propublica.org/nonprofits/full_text/202240149349300339/IRS990,2026-09-14,"569,350",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYInvestmentIncomeAmt[1],INVEST,organization_invest,202240149349300339,ITIF,Information Technology and Innovation Foundation,2021-02-28,2020-03-01,yes,industry,sources/return-202240149349300339.html
R-ITIF-2020-REV-3775,4937375,https://projects.propublica.org/nonprofits/full_text/202001959349303775/IRS990,2026-09-14,"4,937,375",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalRevenueAmt[1],REV,organization_rev,202001959349303775,ITIF,Information Technology and Innovation Foundation,2020-02-29,2019-03-01,yes,industry,sources/return-202001959349303775.html
